feature_set,tt_split,tr_rmse_m,tr_rmse_sd,tr_r2_m,tr_r2_sd,oob_m,oob_sd,te_rmse_m,te_rmse_sd,te_r2_m,te_r2_sd,
10_angstrom,0.7,11.45056151,0.682653108,0.398764442,0.041140728,12.01841219,0.604520911,12.31101539,1.673972767,0.204687071,0.169288105,
10_angstrom,0.8,11.46738213,0.384148491,0.377403868,0.063721332,11.91224566,0.315386289,11.87420414,0.857113695,0.261831994,0.216442601,
12_angstrom,0.7,11.54174593,0.817104879,0.379276125,0.053213736,12.16154394,0.749137228,12.53852739,1.909072463,0.187124549,0.177253324,
12_angstrom,0.8,11.61474593,0.410157897,0.359950145,0.070102039,12.16831721,0.302611407,12.20704284,1.077126866,0.234612004,0.199710517,
8_angstrom,0.7,11.69337004,0.705446683,0.3938639,0.055655801,12.16062083,0.650195389,12.45101571,1.643946762,0.184912649,0.143668985,
8_angstrom,0.8,11.7064396,0.338262932,0.365740557,0.071994525,12.26749288,0.307281207,12.43454305,1.040861075,0.214177158,0.21665859,
channelAB,0.7,11.39167995,0.927864124,0.391693813,0.074589672,11.96732943,0.849576127,12.28503903,1.782448073,0.198618884,0.132756498,
channelAB,0.8,11.38398034,0.366562291,0.373636767,0.048749159,11.83737078,0.365698602,11.85821067,0.869961763,0.264184709,0.197662042,
,,,,,,,,,,,,
