training_accuracy,oob_error,testing_accuracy
0.7180952380952381,0.1932645422882107,0.625
0.6833333333333333,0.21972126758457777,0.7083333333333334
0.6980952380952381,0.20741563023180373,0.75
0.7123809523809523,0.19880476024974233,0.5833333333333334
0.6423809523809524,0.2300514590829862,0.7083333333333334
0.7038095238095238,0.21017868900301903,0.7083333333333334
0.6480952380952381,0.23995360291161608,0.7916666666666666
0.65,0.21291138230095438,0.7083333333333334
0.7157142857142857,0.21059985601420803,0.625
0.7261904761904762,0.22234775180719787,0.625
