training_accuracy,oob_error,testing_accuracy
0.825,0.161155015203878,0.5555555555555556
0.695,0.18429886354876962,0.7777777777777778
0.7883333333333333,0.15816544173355998,0.5555555555555556
0.735,0.18628141973692927,0.6666666666666666
0.6983333333333334,0.198490292599573,0.7777777777777778
0.79,0.17167374610842803,0.5555555555555556
0.73,0.18660867754823182,0.7777777777777778
0.71,0.20538461184358955,0.8888888888888888
0.725,0.1840191305688766,0.7777777777777778
0.6583333333333333,0.20893617351920113,1
