feature_set,properties,tt_split,seed,trial,training_rmse,training_r2,oob_error,testing_rmse,testing_r2
12_angstrom,physiochemical,0.7,1234,2,11.35199246,0.375456916,11.95271792,12.90814031,0.164737323
12_angstrom,physiochemical,0.7,1234,3,10.5099332,0.41863832,11.5162398,15.05586227,0.008631524
12_angstrom,physiochemical,0.7,1234,4,12.44447817,0.259739344,12.61768783,11.48474069,0.388919359
12_angstrom,physiochemical,0.7,1234,5,10.99770847,0.404260593,11.78271142,13.84038284,0.040252167
12_angstrom,physiochemical,0.7,1234,6,11.09228286,0.387857775,11.70133736,13.83325033,0.057799509
12_angstrom,physiochemical,0.7,1234,7,11.69493828,0.362459431,12.1831946,12.07547018,0.157280184
12_angstrom,physiochemical,0.7,1234,8,12.43260584,0.409987967,13.36352761,9.742965772,0.498075458
12_angstrom,physiochemical,0.7,1234,9,10.70943258,0.434846801,11.03584279,14.76406495,0.007591542
12_angstrom,physiochemical,0.7,1234,10,11.23184601,0.416869112,12.1539159,12.08409962,0.158893608
12_angstrom,physiochemical,0.8,1234,1,12.11337744,0.226919535,12.55582738,11.49520422,0.605631623
12_angstrom,physiochemical,0.8,1234,2,11.89133159,0.328834171,12.46761582,11.69779402,0.310656898
12_angstrom,physiochemical,0.8,1234,3,11.58780398,0.407848358,12.11253497,12.00421531,0.148398581
12_angstrom,physiochemical,0.8,1234,4,11.34326381,0.337186217,12.07800149,13.72485887,0.099247465
12_angstrom,physiochemical,0.8,1234,5,11.60626723,0.307770799,12.08944684,12.38612742,0.307700288
12_angstrom,physiochemical,0.8,1234,6,11.00724552,0.419316689,11.62782591,13.22818382,0.049972494
12_angstrom,physiochemical,0.8,1234,7,11.26216303,0.40701741,11.79823562,13.77938036,0.00456646
12_angstrom,physiochemical,0.8,1234,8,11.4882712,0.411343806,12.2632656,11.31602184,0.189581663
12_angstrom,physiochemical,0.8,1234,9,12.37881405,0.302165491,12.52720107,10.49865637,0.518158206
12_angstrom,physiochemical,0.8,1234,10,11.4689214,0.451098969,12.16321736,11.93998619,0.112206361
