feature_set,tt_split,seed,groups,threshhold,trial,training_accuracy,oob_error,testing_accuracy
channelAB,0.7,1234,3,"15, 30",6,0.566666667,0.366638966,0.458333333
channelAB,0.7,1234,3,"15, 30",7,0.530952381,0.420545383,0.5
channelAB,0.7,1234,3,"15, 30",8,0.598095238,0.362317609,0.416666667
channelAB,0.7,1234,3,"15, 30",9,0.516190476,0.373460048,0.375
channelAB,0.7,1234,3,"15, 30",10,0.483809524,0.393121519,0.583333333
channelAB,0.8,1234,3,"15, 30",1,0.605952381,0.360257778,0.285714286
channelAB,0.8,1234,3,"15, 30",2,0.522222222,0.385304497,0.571428571
channelAB,0.8,1234,3,"15, 30",3,0.5875,0.394977215,0.571428571
channelAB,0.8,1234,3,"15, 30",4,0.592857143,0.370653699,0.428571429
channelAB,0.8,1234,3,"15, 30",5,0.525595238,0.397852228,0.5
channelAB,0.8,1234,3,"15, 30",6,0.460714286,0.380287073,0.571428571
channelAB,0.8,1234,3,"15, 30",7,0.486904762,0.398529292,0.642857143
channelAB,0.8,1234,3,"15, 30",8,0.55,0.403087555,0.642857143
channelAB,0.8,1234,3,"15, 30",9,0.540873016,0.405076183,0.571428571
channelAB,0.8,1234,3,"15, 30",10,0.466666667,0.417760934,0.571428571
channelAB,0.7,1234,2,"15, 30",1,0.796666667,0.155646097,0.733333333
channelAB,0.7,1234,2,"15, 30",2,0.718333333,0.169026238,0.666666667
channelAB,0.7,1234,2,"15, 30",3,0.635,0.233669427,0.733333333
channelAB,0.7,1234,2,"15, 30",4,0.681666667,0.245091812,0.866666667
channelAB,0.7,1234,2,"15, 30",5,0.825,0.15643756,0.6
channelAB,0.7,1234,2,"15, 30",6,0.83,0.149827022,0.533333333
channelAB,0.7,1234,2,"15, 30",7,0.718333333,0.197329653,0.733333333
channelAB,0.7,1234,2,"15, 30",8,0.766666667,0.165299292,0.6
channelAB,0.7,1234,2,"15, 30",9,0.656666667,0.215981154,0.666666667
channelAB,0.7,1234,2,"15, 30",10,0.821666667,0.143326138,0.6
channelAB,0.8,1234,2,"15, 30",1,0.825,0.161155015,0.555555556
channelAB,0.8,1234,2,"15, 30",2,0.695,0.184298864,0.777777778
channelAB,0.8,1234,2,"15, 30",3,0.788333333,0.158165442,0.555555556
channelAB,0.8,1234,2,"15, 30",4,0.735,0.18628142,0.666666667
channelAB,0.8,1234,2,"15, 30",5,0.698333333,0.198490293,0.777777778
channelAB,0.8,1234,2,"15, 30",6,0.79,0.171673746,0.555555556
channelAB,0.8,1234,2,"15, 30",7,0.73,0.186608678,0.777777778
channelAB,0.8,1234,2,"15, 30",8,0.71,0.205384612,0.888888889
channelAB,0.8,1234,2,"15, 30",9,0.725,0.184019131,0.777777778
channelAB,0.8,1234,2,"15, 30",10,0.658333333,0.208936174,1
