training_accuracy,oob_error,testing_accuracy
0.7966666666666666,0.15564609705922924,0.7333333333333333
0.7183333333333333,0.169026238066334,0.6666666666666666
0.635,0.23366942709202143,0.7333333333333333
0.6816666666666666,0.24509181212450612,0.8666666666666667
0.825,0.15643755966498732,0.6
0.83,0.14982702234190717,0.5333333333333333
0.7183333333333334,0.1973296527037489,0.7333333333333333
0.7666666666666666,0.1652992917182304,0.6
0.6566666666666666,0.2159811542483896,0.6666666666666666
0.8216666666666667,0.14332613750804282,0.6
