training_accuracy,oob_error,testing_accuracy
0.5833333333333334,0.35920036204419453,0.25
0.5952380952380952,0.35196828851129847,0.4583333333333333
0.5142857142857142,0.40329853998743403,0.4166666666666667
0.48,0.41937749732716395,0.5
0.6128571428571429,0.3681907345597399,0.375
0.5666666666666667,0.3666389664497637,0.4583333333333333
0.530952380952381,0.420545382834579,0.5
0.5980952380952381,0.3623176091580374,0.4166666666666667
0.5161904761904762,0.3734600478331662,0.375
0.4838095238095238,0.39312151855162203,0.5833333333333334
