TrainRMSE,TrainRsquared,OOBerror,TestRMSE,TestRsquared
11.880912706996707,0.242956793677559,12.291167332899013,11.391465449437767,0.685223853252263
11.731355951328535,0.3635964733303614,11.984342109955477,11.618878738718418,0.30520475959646287
11.397426432466657,0.4452064245733859,11.932757101874383,12.157589726056917,0.10860581704395758
11.216611166366741,0.3638224112151582,11.582357213343135,12.217637881160266,0.1713955261536508
11.318772178039277,0.3452475748800233,11.946660437800029,12.135361694579956,0.3455030827512596
10.925444566259726,0.4218123800670689,11.436530521310802,13.114054948830171,0.07269606952656472
11.164602246224367,0.4316620315050703,11.597612701496416,13.093403057055486,0.03782439868767204
11.390185624238354,0.39642513711822674,12.076059582737692,11.482571356183687,0.19935620415502592
12.243497375982777,0.32187458101724653,12.439483516783488,10.311787110622316,0.5672950606101334
11.40501304149135,0.44143486934095577,11.835486103925382,11.219291451440887,0.1252151687847381
